"from","to","vessels","xx","yx","xy","yy"
"Mainland Mooring 51","Mainland Mussels 18",3,175.394999821667,-36.2618971699,175.436903747595,-36.749949914727
"Mainland Mooring 51","Mainland Mussels 29",5,175.394999821667,-36.2618971699,175.341963074222,-36.1619629048222
"Mainland Mooring 51","Mainland Mussels 54",1,175.394999821667,-36.2618971699,175.16964666,-36.8061142425
"Mainland Mooring 51","Mainland Oysters 16",1,175.394999821667,-36.2618971699,175.169953813,-36.8029395727
"Mainland Mooring 51","Mainland Oysters 23",1,175.394999821667,-36.2618971699,174.459996629,-35.817853824
"Mainland Mooring 51","Mainland Salmon 12",1,175.394999821667,-36.2618971699,174.817813456,-36.4171652096
"Mainland Mooring 51","Smokehouse Bay",23,175.394999821667,-36.2618971699,175.3353,-36.2057
"Mainland Mooring 52","Mainland Beach 29",1,175.3452219984,-36.16394118716,175.482161136333,-36.1545944806333
"Mainland Mooring 52","Mainland CHS 10",1,175.3452219984,-36.16394118716,175.525633969,-37.1689870719333
"Mainland Mooring 52","Mainland Marina 6",1,175.3452219984,-36.16394118716,174.788355122,-36.620952782
"Mainland Mooring 52","Mainland Marina 9",23,175.3452219984,-36.16394118716,174.7806808478,-36.84457156828
"Mainland Mooring 52","Mainland Mooring 35",1,175.3452219984,-36.16394118716,174.115811762778,-35.2454224835259
"Mainland Mooring 52","Mainland Mooring 41",1,175.3452219984,-36.16394118716,174.551119822,-35.6207688664667
"Mainland Mooring 52","Mainland Mooring 42",2,175.3452219984,-36.16394118716,174.5217148356,-35.83060401092
"Mainland Mooring 52","Mainland Mooring 50",3,175.3452219984,-36.16394118716,175.484314823333,-36.3264657695333
"Mainland Mooring 52","Mainland Mooring 51",7,175.3452219984,-36.16394118716,175.394999821667,-36.2618971699
"Mainland Mooring 52","Mainland Mooring 53",1,175.3452219984,-36.16394118716,174.7427249285,-36.4036802051
"Mainland Mooring 52","Mainland Mooring 60",1,175.3452219984,-36.16394118716,175.054278319,-36.7799339133
"Mainland Mooring 52","Mainland Mooring 64",13,175.3452219984,-36.16394118716,174.799140037429,-36.8335831537
"Mainland Mooring 52","Mainland Mooring 65",2,175.3452219984,-36.16394118716,174.829097479333,-36.4237396672
"Mainland Mooring 52","Mainland MR 3",1,175.3452219984,-36.16394118716,174.840336911,-36.3580937062
"Mainland Mooring 52","Mainland Mussels 18",1,175.3452219984,-36.16394118716,175.436903747595,-36.749949914727
"Mainland Mooring 52","Mainland Mussels 29",6,175.3452219984,-36.16394118716,175.341963074222,-36.1619629048222
"Mainland Mooring 52","Mainland Mussels 3",1,175.3452219984,-36.16394118716,175.0661639535,-36.83727495265
"Mainland Mooring 52","Mainland Mussels 54",1,175.3452219984,-36.16394118716,175.16964666,-36.8061142425
"Mainland Mooring 52","Mainland Oysters 16",1,175.3452219984,-36.16394118716,175.169953813,-36.8029395727
"Mainland Mooring 52","Mainland Oysters 23",3,175.3452219984,-36.16394118716,174.459996629,-35.817853824
"Mainland Mooring 52","Mainland Salmon 12",1,175.3452219984,-36.16394118716,174.817813456,-36.4171652096
"Mainland Mooring 52","Smokehouse Bay",20,175.3452219984,-36.16394118716,175.3353,-36.2057
"Mainland Mooring 53","Mainland Marina 5",1,174.7427249285,-36.4036802051,174.7357559835,-36.39353752665
