"from","to","vessels","xx","yx","xy","yy"
"Mainland Island 63","Mainland Marina 15",1,175.91971452925,-37.086042272775,178.025686769,-38.6865385205
"Mainland Island 63","Mainland Marina 9",4,175.91971452925,-37.086042272775,174.7806808478,-36.84457156828
"Mainland Island 63","Mainland Mooring 28",2,175.91971452925,-37.086042272775,175.772892556,-36.6005389888
"Mainland Island 63","Mainland Mooring 29",1,175.91971452925,-37.086042272775,175.814958883,-36.7608098067
"Mainland Island 63","Mainland Mooring 32",1,175.91971452925,-37.086042272775,175.876411192,-37.196956871
"Mainland Island 63","Mainland Mooring 50",1,175.91971452925,-37.086042272775,175.484314823333,-36.3264657695333
"Mainland Island 63","Mainland Mooring 64",1,175.91971452925,-37.086042272775,174.799140037429,-36.8335831537
"Mainland Island 63","Mainland MR 21",1,175.91971452925,-37.086042272775,174.949996206,-40.8565046599
"Mainland Island 63","Mainland MR 23",3,175.91971452925,-37.086042272775,175.791613051,-36.819740851
"Mainland Island 67","Mainland Beach 69",1,176.081709432397,-36.9588858977016,175.862501418,-36.8754822539
"Mainland Island 67","Mainland Island 7",1,176.081709432397,-36.9588858977016,176.427145963,-37.6231809272
"Mainland Island 67","Mainland Island 81",1,176.081709432397,-36.9588858977016,174.697666371,-36.0020054432
"Mainland Island 67","Mainland Marina 11",1,176.081709432397,-36.9588858977016,175.70634073,-36.8220996925
"Mainland Island 67","Mainland Marina 12",2,176.081709432397,-36.9588858977016,175.860119601,-37.0004760284
"Mainland Island 67","Mainland Marina 14",1,176.081709432397,-36.9588858977016,176.18072485,-37.66724799505
"Mainland Island 67","Mainland Marina 9",4,176.081709432397,-36.9588858977016,174.7806808478,-36.84457156828
"Mainland Island 67","Mainland Mooring 28",2,176.081709432397,-36.9588858977016,175.772892556,-36.6005389888
"Mainland Island 69","Mainland Beach 33",1,174.740578605,-36.9552935626333,174.697709305,-36.9518342411
"Mainland Island 69","Mainland Marina 9",2,174.740578605,-36.9552935626333,174.7806808478,-36.84457156828
"Mainland Island 69","Mainland Mooring 64",1,174.740578605,-36.9552935626333,174.799140037429,-36.8335831537
"Mainland Island 7","Mainland Beach 29",1,176.427145963,-37.6231809272,175.482161136333,-36.1545944806333
"Mainland Island 7","Mainland CHS 19",1,176.427145963,-37.6231809272,177.992973811,-37.5696990508
"Mainland Island 7","Mainland CHS 20",1,176.427145963,-37.6231809272,178.346598882,-37.5977045927
